pro_id,time,status,line_ex,multi_br,br_ex,ave_price_ind,sum_disp,sum_flier,ave_PI,max_price,ave_disc
220,19,1,0,1,0,0.99475,0,0,0.446125,48,0.00525
221,6,1,0,1,0,1,0,0,0.04775,475,0
222,6,1,0,1,0,0.998,0,0,0.410475,48,0.002
223,29,1,1,0,0,1,0,0,0.10905,185,0
224,29,1,0,1,0,1,0,0,0.190425,95,0
225,30,1,1,0,0,1,0,0,0.3776,185,0
226,24,1,1,0,0,1,0,0,0.35665,185,0
227,32,1,1,0,0,0.977,0,0,0.42045,185,0.023
228,6,1,0,1,0,0.90625,0,0,0.0902,48,0.09375
229,29,1,0,1,0,1,0,0,0.404425,18,0
230,47,1,1,0,0,0.96075,0,0,0.484475,110,0.03925
231,29,1,1,0,0,0.97325,0,0,0.128025,185,0.02675
232,29,1,1,0,0,0.9605,0,0,0.148325,185,0.0395
233,16,1,1,0,0,1,0,0,0.0726,185,0
234,9,1,1,0,0,1,0,0,0.02265,185,0
235,17,1,1,0,0,1,0,0,0.0249,185,0
236,52,0,1,0,0,1,0,0,0.236275,90,0
237,28,1,0,1,0,0.9935,0,0,0.0717,115,0.0065
238,38,1,0,1,0,1,0,0,0.15845,95,0
239,19,1,0,1,0,1,0,0,0.11305,95,0
241,27,1,0,1,0,1,0,0,0.118575,95,0
242,27,1,0,1,0,1,0,0,0.11075,95,0
243,27,1,1,0,0,1,0,0,0.1471,95,0
244,26,1,1,0,0,0.99825,0,0,0.16625,95,0.00175
245,52,0,0,1,0,1,24,0,0.2207,148,0
246,52,0,0,1,0,1,18,0,0.361625,148,0
248,52,0,1,0,0,0.966,0,5,0.449475,90,0.034
249,52,0,0,1,0,1,18,0,0.24745,148,0
250,44,1,0,1,0,0.99525,17,0,0.29915,258,0.00475
251,52,0,0,1,0,1,15,0,0.34405,258,0
252,52,0,0,1,0,1,15,0,0.373425,258,0
253,52,0,0,1,0,1,15,0,0.364325,258,0
254,35,1,1,0,0,1,0,0,0.1047,115,0
255,15,1,1,0,0,0.874,0,0,0.246675,80,0.126
256,52,0,1,0,0,1,0,0,0.4454,90,0
257,52,0,1,0,0,1,0,0,1.010275,185,0
258,39,1,1,0,0,0.9475,0,0,0.24265,95,0.0525
259,12,1,1,0,0,1,0,0,0.10065,250,0
260,52,0,1,0,0,1,0,0,0.076425,498,0
261,52,0,1,0,0,1,0,0,0.098125,498,0
262,52,0,1,0,0,0.961,0,3,0.233125,748,0.039
263,52,0,1,0,0,0.953,4,0,0.24765,748,0.047
264,52,0,0,1,0,1,0,0,0.28485,68,0
265,51,1,0,1,0,0.99475,0,0,0.18315,50,0.00525
266,52,0,0,1,0,1,0,0,0.430175,50,0
267,52,0,1,0,0,1,0,0,0.2471,145,0
268,52,0,0,1,0,1,2,0,0.4185,398,0
269,38,1,0,1,0,0.99875,0,0,0.2437,48,0.00125
271,44,1,1,0,0,1,0,0,0.024475,148,0
272,19,1,1,0,0,1,0,0,0.047875,188,0
273,6,1,0,1,0,1,0,0,0.027725,188,0
274,13,1,0,1,0,1,0,0,0.036875,188,0
275,47,1,1,0,0,1,0,0,0.243275,148,0
276,46,1,1,0,0,1,0,0,0.09485,148,0
278,52,0,0,1,0,0.99575,0,0,0.37525,178,0.00425
279,5,1,0,1,0,1,0,0,0.012625,248,0
281,9,1,1,0,0,0.9915,0,0,0.03305,198,0.0085
282,12,1,0,1,0,1,0,0,0.0709,128,0
283,16,1,0,1,0,0.99425,0,0,0.063775,128,0.00575
284,35,1,1,0,0,1,0,0,0.274475,20,0
286,44,1,0,1,0,1,0,0,0.1505,20,0
287,51,1,1,0,0,0.99775,6,0,0.6141,28,0.00225
288,28,1,0,1,0,1,0,0,0.33045,50,0
289,25,1,1,0,0,0.998,0,0,0.3668,90,0.002
290,29,1,1,0,0,1,0,0,0.105125,90,0
291,29,1,1,0,0,1,0,0,0.341775,90,0
292,5,1,1,0,0,1,15,0,0.4607,78,0
293,22,1,1,0,0,1,0,0,0.11535,95,0
294,18,1,1,0,0,1,0,0,0.22105,30,0
295,32,1,1,0,0,1,23,0,0.23985,78,0
296,52,0,1,0,0,1,0,0,0.2219,55,0
297,24,1,1,0,0,1,0,0,0.099125,78,0
298,7,1,1,0,0,1,0,0,0.251275,90,0
299,5,1,0,1,0,1,0,0,0.2552,138,0
300,34,1,1,0,0,0.9325,9,0,0.389625,158,0.0675
301,28,1,1,0,0,1,0,0,0.37345,58,0
302,30,1,1,0,0,0.98725,23,0,0.165625,78,0.01275
303,52,0,1,0,0,1,0,0,0.153475,55,0
304,16,1,0,1,0,1,0,0,0.0598,118,0
305,14,1,0,1,0,1,0,0,0.107075,118,0
306,52,0,1,0,0,1,0,0,0.3049,148,0
307,7,1,0,1,0,1,0,0,0.028,110,0
308,8,1,0,1,0,1,0,0,0.08235,90,0
309,52,0,1,0,0,1,0,0,0.271475,95,0
310,37,1,1,0,0,1,0,0,0.0506,90,0
311,31,1,0,1,0,0.99825,0,0,0.099725,95,0.00175
312,8,1,1,0,0,1,0,0,0.0761,90,0
313,35,1,1,0,0,0.999,0,0,0.751475,55,0.001
314,42,1,1,0,0,1,0,0,0.224925,58,0
315,27,1,0,1,0,1,0,0,0.167725,68,0
317,41,1,0,1,0,1,0,0,0.3896,46,0
318,24,1,1,0,0,1,0,0,0.128275,40,0
320,52,0,1,0,0,0.998,0,0,0.170225,90,0.002
321,29,1,1,0,0,1,0,0,0.23145,90,0
323,52,0,1,0,0,1,0,0,0.118925,90,0
324,19,1,0,1,0,1,0,0,0.058725,95,0
325,52,0,1,0,0,0.989,0,4,3.512625,90,0.011
326,52,0,0,0,1,1,0,0,1.175725,185,0
327,30,1,1,0,0,1,0,0,0.739,90,0
328,52,0,1,0,0,1,0,0,0.282275,58,0
329,33,1,1,0,0,1,0,0,0.3902,58,0
330,52,0,1,0,0,1,0,0,0.328075,58,0
331,20,1,1,0,0,0.99875,0,0,0.22135,95,0.00125
332,43,1,1,0,0,1,0,0,0.13235,90,0
333,26,1,1,0,0,1,0,0,0.1353,95,0
334,34,1,1,0,0,1,0,0,0.166625,95,0
335,46,1,1,0,0,1,0,0,0.0857,90,0
336,28,1,0,1,0,0.999,0,0,0.510775,48,0.001
337,10,1,1,0,0,1,0,0,0.5208,55,0
338,35,1,1,0,0,1,0,0,0.11505,90,0
339,23,1,1,0,0,0.9965,0,0,0.613525,55,0.0035
340,23,1,0,0,0,1,0,0,0.057,90,0
341,52,0,1,0,0,0.99825,0,0,0.4245,90,0.00175
342,15,1,1,0,0,0.99825,0,0,0.556575,48,0.00175
343,52,0,1,0,0,1,0,0,0.391275,58,0
344,28,1,1,0,0,0.99775,0,0,0.089475,90,0.00225
345,9,1,1,0,0,0.99825,0,0,0.261775,140,0.00175
346,38,1,0,1,0,0.9985,0,0,0.5898,55,0.0015
347,44,1,1,0,0,0.8405,26,0,2.31825,95,0.1595
348,23,1,1,0,0,1,0,0,0.99775,55,0
349,25,1,1,0,0,0.99675,2,0,0.452,90,0.00325
350,37,1,1,0,0,0.9515,12,0,0.8926,90,0.0485
351,35,1,1,0,0,0.99475,0,0,0.237975,95,0.00525
352,12,1,1,0,0,0.9055,27,0,0.77845,110,0.0945
353,31,1,1,0,0,0.993,0,0,0.2716,110,0.007
354,24,1,1,0,0,0.99925,18,0,0.62155,58,0.00075
355,8,1,0,1,0,1,0,0,0.031,428,0
356,32,1,1,0,0,1,0,0,0.11015,90,0
357,14,1,0,1,0,1,0,0,0.0656,90,0
358,40,1,0,1,0,1,0,0,0.339175,110,0
359,52,0,1,0,0,1,0,0,0.070325,260,0
360,52,0,0,1,0,1,0,0,0.133975,90,0
361,11,1,0,0,1,0.99025,0,0,0.09425,90,0.00975
362,52,0,1,0,0,0.9785,0,0,0.3509,90,0.0215
363,23,1,1,0,0,1,18,0,0.249,115,0
364,39,1,1,0,0,0.98425,0,0,0.266675,90,0.01575
365,52,0,1,0,0,1,0,0,0.3578,185,0
366,15,1,1,0,0,0.9965,6,0,0.169525,90,0.0035
367,20,1,1,0,0,0.89925,0,0,0.1573,90,0.10075
368,39,1,1,0,0,0.99025,0,0,0.429825,90,0.00975
369,29,1,1,0,0,0.9335,0,0,0.03915,90,0.0665
370,44,1,1,0,0,0.99725,0,0,0.217925,328,0.00275
371,27,1,1,0,0,0.9335,0,0,0.043825,90,0.0665
372,14,1,0,1,0,1,0,0,0.102475,98,0
373,21,1,1,0,0,0.99525,0,0,0.126225,90,0.00475
374,52,0,1,0,0,1,0,0,0.22485,328,0
375,30,1,1,0,0,1,0,0,0.160425,90,0
376,13,1,0,1,0,1,0,0,0.0495,95,0
377,52,0,1,0,0,1,0,0,0.404725,95,0
378,21,1,1,0,0,0.99525,0,0,0.239875,90,0.00475
379,22,1,0,1,0,0.98725,0,0,0.1513,90,0.01275
380,52,0,1,0,0,0.989,0,4,2.90525,115,0.011
381,39,1,1,0,0,1,0,0,0.138025,90,0
382,21,1,1,0,0,1,0,0,0.06185,90,0
383,52,0,1,0,0,1,0,0,0.094675,260,0
384,52,0,1,0,0,0.988,0,4,4.201175,115,0.012
385,21,1,0,0,0,0.9995,0,0,0.570275,135,0.0005
386,37,1,1,0,0,0.9995,0,0,0.688975,143,0.0005
387,9,1,0,1,0,0.99925,0,0,0.9485,143,0.00075
389,29,1,0,1,0,1,0,0,0.012375,115,0
390,52,0,1,0,0,0.80675,24,4,4.490725,108,0.19325
391,52,0,1,0,0,0.80625,25,4,3.72755,108,0.19375
392,52,0,1,0,0,1,0,0,0.45285,138,0
393,52,0,1,0,0,1,0,0,0.490375,108,0
396,5,1,1,0,0,1,23,0,1.384625,100,0
398,18,1,1,0,0,1,0,0,0.42835,55,0
399,25,1,0,1,0,1,0,0,0.30975,90,0
400,27,1,1,0,0,0.973,0,0,0.18065,90,0.027
401,52,0,1,0,0,1,0,0,1.158875,138,0
402,52,0,1,0,0,1,0,0,0.1824,138,0
403,52,0,1,0,0,0.96475,0,0,1.18735,55,0.03525
404,18,1,1,0,0,1,0,0,0.254675,90,0
406,11,1,1,0,0,1,0,0,1.026175,55,0
407,52,0,1,0,0,0.9625,0,0,0.293125,90,0.0375
408,16,1,1,0,0,1,0,0,0.120425,90,0
409,18,1,1,0,0,0.9595,0,0,0.58205,90,0.0405
410,52,0,1,0,0,0.99925,0,0,0.46845,55,0.00075
411,26,1,1,0,0,1,0,0,0.74725,55,0
412,37,1,1,0,0,0.96425,0,0,0.6482,90,0.03575
413,22,1,1,0,0,0.9915,0,0,0.5639,28,0.0085
414,52,0,1,0,0,0.99925,0,0,1.743375,55,0.00075
415,40,1,1,0,0,0.9405,24,0,0.77315,90,0.0595
416,52,0,1,0,0,0.9995,0,0,0.327625,95,0.0005
417,27,1,1,0,0,0.99925,0,0,1.055075,55,0.00075
418,52,0,1,0,0,0.99725,0,0,0.2561,90,0.00275
419,18,1,1,0,0,0.999,0,0,0.3021,90,0.001
421,52,0,1,0,0,0.832,11,0,1.987825,95,0.168
422,5,1,1,0,0,0.9745,11,0,2.2246,80.85,0.0255
423,52,0,1,0,0,0.83375,8,0,1.573475,95,0.16625
424,22,1,1,0,0,0.999,0,0,0.302475,95,0.001
425,45,1,0,1,0,0.99525,0,0,0.272725,135,0.00475
426,28,1,1,0,0,0.99675,0,0,0.05445,298,0.00325
427,26,1,1,0,0,0.96025,0,0,0.025975,298,0.03975
428,48,1,0,1,0,1,0,0,0.2497,20,0
429,52,0,0,0,1,1,0,0,0.65825,158,0
430,52,0,1,0,0,0.92725,8,0,1.325275,128,0.07275
433,28,1,1,0,0,1,0,0,0.2149,98,0
434,29,1,1,0,0,1,0,0,0.211375,118,0
435,33,1,0,1,0,0.89475,0,0,0.385125,98,0.10525
436,9,1,1,0,0,1,0,0,0.78125,128,0
437,29,1,1,0,0,0.85375,0,0,0.152375,138,0.14625
438,17,1,0,1,0,1,0,0,0.05375,118,0
439,16,1,0,1,0,1,0,0,0.079425,118,0
440,52,0,0,1,0,1,0,0,0.1774,240,0
441,24,1,0,1,0,0.99725,0,0,0.176475,95,0.00275
442,19,1,0,1,0,0.99775,0,0,0.141775,95,0.00225
443,45,1,0,1,0,0.95,0,0,0.18285,90,0.05
444,24,1,1,0,0,1,0,0,0.0854,95,0
446,27,1,0,1,0,0.997,0,0,0.097025,148,0.003
447,27,1,0,1,0,0.997,0,0,0.092225,148,0.003
448,7,1,1,0,0,1,0,0,0.240125,50,0
449,52,0,0,1,0,1,0,0,0.455875,110,0
450,39,1,1,0,0,1,0,0,0.027725,110,0
451,44,1,1,0,0,1,0,0,0.0406,90,0
453,52,0,1,0,0,0.926,0,0,1.795025,135,0.074
454,43,1,1,0,0,0.88875,12,4,2.491325,135,0.11125
455,22,1,1,0,0,0.99925,0,0,0.2965,135,0.00075
456,15,1,1,0,0,1,0,0,1.439775,125,0
457,48,1,1,0,0,1,0,0,0.96785,125,0
458,20,1,1,0,0,1,0,0,0.60005,125,0
459,52,0,1,0,0,1,0,0,0.302775,328,0
460,12,1,1,0,0,1,0,0,0.037575,338,0
461,11,1,1,0,0,1,0,0,0.089375,338,0
462,14,1,1,0,0,1,0,0,0.015325,338,0
463,52,0,1,0,0,0.998,0,0,0.306575,278,0.002
464,52,0,1,0,0,0.99825,0,0,0.690125,118,0.00175
467,29,1,1,0,0,1,0,0,0.17215,118,0
468,52,0,1,0,0,1,0,0,0.406225,118,0
469,52,0,1,0,0,0.99775,0,0,0.264275,118,0.00225
470,8,1,1,0,0,0.99925,22,0,3.222825,198,0.00075
471,12,1,1,0,0,0.989,8,0,4.103725,101.33,0.011
472,25,1,1,0,0,0.88725,8,7,4.032725,118,0.11275
473,25,1,1,0,0,0.9985,0,0,0.1899,278,0.0015
475,32,1,0,0,0,1,0,0,0.0308,398,0
476,29,1,0,0,0,1,0,0,0.070075,398,0
477,12,1,0,0,0,1,0,0,0.09815,218,0
478,11,1,1,0,0,1,0,0,0.0378,92,0
479,8,1,0,0,0,1,0,0,0.01435,195,0
485,15,1,1,0,0,1,0,0,0.239475,190,0
486,52,0,1,0,0,1,0,0,1.217575,98,0
489,7,1,1,0,0,0.87925,17,4,0.793025,100,0.12075
490,17,1,0,1,0,0.99,0,0,0.139175,102,0.01
492,22,1,1,0,0,1,25,0,0.552,100,0
494,47,1,1,0,0,0.925,6,4,0.70815,100,0.075
495,52,0,1,0,0,0.83,13,7,1.193625,325,0.17
496,22,1,1,0,0,0.8665,4,4,0.41785,100,0.1335
497,50,1,1,0,0,1,1,0,0.254625,325,0
499,22,1,1,0,0,0.94975,0,3,0.458125,102,0.05025
503,34,1,1,0,0,1,0,0,0.432025,125,0
504,21,1,1,0,0,0.998,0,0,0.732325,135,0.002
505,28,1,1,0,0,1,0,0,0.230925,398,0
506,26,1,1,0,0,0.7865,14,1,3.93935,315,0.2135
507,18,1,1,0,0,0.93725,0,4,1.063125,100,0.06275
508,25,1,1,0,0,1,0,0,0.1663,100,0
511,10,1,1,0,0,1,0,0,0.780075,100,0
513,17,1,1,0,0,0.967,0,0,0.496125,188,0.033
514,52,0,0,1,0,0.861,3,8,2.85125,100,0.139
515,15,1,1,0,0,1,0,0,0.699025,125,0
516,52,0,1,0,0,0.909,0,0,0.13985,110,0.091
517,6,1,1,0,0,1,0,0,0.083,398,0
518,52,0,1,0,0,0.909,0,0,0.0697,110,0.091
520,52,0,1,0,0,0.8135,26,3,3.243425,98,0.1865
521,52,0,1,0,0,0.82775,18,0,1.87535,98,0.17225
522,50,1,1,0,0,0.909,0,0,0.301625,110,0.091
523,50,1,1,0,0,0.7025,20,8,1.033675,325,0.2975
524,10,1,1,0,0,1,0,0,0.293075,100,0
525,16,1,1,0,0,0.858,0,0,0.203525,325,0.142
526,33,1,1,0,0,0.96975,0,0,0.34105,105,0.03025
527,17,1,1,0,0,0.996,0,0,0.60395,98,0.004
528,22,1,1,0,0,0.86025,21,0,1.06935,110,0.13975
529,35,1,1,0,0,0.87875,11,4,1.5096,98,0.12125
531,11,1,1,0,0,1,0,0,0.202325,110,0
532,52,0,1,0,0,0.9645,0,0,0.208125,325,0.0355
533,52,0,1,0,0,0.998,0,0,0.616025,98,0.002
535,26,1,1,0,0,1,0,0,0.153175,110,0
536,6,1,1,0,0,1,0,0,0.210975,135,0
537,10,1,1,0,0,1,0,0,0.0362,315,0
538,52,0,1,0,0,0.90075,0,0,0.78385,110,0.09925
540,52,0,1,0,0,0.91325,0,0,0.275625,315,0.08675
