"CM視聴率 CMリスト"
"企業名:","ホンダ/本田技研工業"
"商品名:","指定なし"
"CM秒数:","全CM"
"番組名:","指定なし"
"検索期間:","2016年4月1日(金) 05:00～2017年3月31日(金) 28:59"
"レポート作成日時:","2017年5月30日（火）14:03"
"放送:","地デジ 5放送"
"サンプル:","関東エリア","個人 5311","FC 295","FT 209","F1 481","F2 783","F3- 552","F3+ 306","MC 267","MT 210","M1 495","M2 823","M3- 586","M3+ 304","世帯 2045","","※期間内最新サンプル数"
""
"CM視聴率(開始時)"
"日付","曜日","開始時刻","秒数","企業","商品","個人全体","FC","FT","F1","F2","F3-","F3+","MC","MT","M1","M2","M3-","M3+","世帯","放送局","番組"
"2017/3/28","火","20:22:54","15","ホンダ/本田技研工業","フリード","6.4","2.4","2.4","3.5","6.0","7.8","8.2","3.4","4.3","5.3","6.9","9.9","12.2","11.5","EX","２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選"
"2017/3/28","火","20:22:24","30","ホンダ/本田技研工業","ヴェゼル ハイブリッド","7.3","2.4","2.4","4.0","6.3","9.1","11.1","3.4","4.3","5.5","6.9","12.1","16.1","13.0","EX","２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選"
"2017/3/27","月","23:52:13","15","ホンダ/本田技研工業","フィット","1.7","0.3","0.5","1.2","1.5","2.2","2.0","0.4","0.5","0.4","3.0","2.0","4.3","3.2","TX","ワールドビジネスサテライト"
"2017/3/27","月","23:51:58","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.8","0.3","0.5","1.2","1.7","2.2","2.0","0.4","0.5","0.4","3.2","2.0","4.6","3.3","TX","ワールドビジネスサテライト"
"2017/3/27","月","19:43:22","30","ホンダ/本田技研工業","フリード","2.9","0.3","1.4","1.9","2.0","4.7","7.5","0.0","0.5","1.4","1.3","4.3","10.5","5.1","TX","ＹＯＵは何しに日本へ？"
"2017/3/27","月","06:43:32","15","ホンダ/本田技研工業","フィット","3.7","2.0","2.9","2.7","5.5","6.0","2.3","2.6","1.0","2.4","4.1","4.9","1.6","7.0","NTV","ＺＩＰ！"
"2017/3/27","月","06:43:17","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","3.7","2.0","2.9","2.9","5.5","6.0","2.3","2.6","1.0","2.4","4.3","4.9","1.6","7.1","NTV","ＺＩＰ！"
"2017/3/26","日","23:50:09","30","ホンダ/本田技研工業","ヴェゼル ハイブリッド","0.9","0.0","0.0","0.6","0.6","0.7","1.9","0.0","0.5","0.8","1.5","1.7","0.6","1.8","TX","ＳＵＰＥＲＧＴ＋"
"2017/3/26","日","23:26:28","30","ホンダ/本田技研工業","ヴェゼル ハイブリッド","2.5","0.0","0.0","1.6","1.9","3.9","4.5","1.1","0.5","1.4","2.5","5.1","4.5","4.4","TBS","ワザビトＢＲＩＤＧＥＯＦＤＲＥＡＭＳ"
"2017/3/26","日","20:51:07","15","ホンダ/本田技研工業","フィット","7.8","6.0","6.3","6.0","7.5","10.4","8.4","5.1","4.9","7.9","8.2","9.8","8.4","12.7","NTV","ザ！鉄腕！ＤＡＳＨ！！スペシャル"
"2017/3/26","日","20:50:52","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","8.0","6.0","6.3","6.0","7.9","10.8","8.8","5.1","4.9","7.9","8.4","10.2","8.4","12.9","NTV","ザ！鉄腕！ＤＡＳＨ！！スペシャル"
"2017/3/26","日","20:50:22","30","ホンダ/本田技研工業","フリード","8.5","7.0","6.8","6.4","8.5","11.5","8.8","5.8","4.9","8.1","9.0","10.5","8.8","13.4","NTV","ザ！鉄腕！ＤＡＳＨ！！スペシャル"
"2017/3/26","日","17:01:20","30","ホンダ/本田技研工業","企業","1.5","0.7","0.0","1.0","2.3","2.7","1.9","0.0","1.0","1.4","1.8","1.9","0.3","3.1","NTV","チカラウタ"
"2017/3/26","日","15:55:18","30","ホンダ/本田技研工業","企業","1.9","1.3","1.0","0.6","3.6","1.6","1.9","1.1","1.0","0.8","2.4","2.0","1.9","3.6","TBS","ＳＡＳＵＫＥ２０１７ナビ完全制覇者は誰だ！？"
"2017/3/26","日","10:48:44","30","ホンダ/本田技研工業","企業","0.3","0.0","0.0","0.2","0.3","0.2","0.6","0.7","0.0","0.4","0.4","0.5","0.6","0.6","TX","出没！アド街ック天国（再）"
"2017/3/26","日","09:23:17","30","ホンダ/本田技研工業","フリード","4.3","1.7","2.4","2.7","6.5","7.4","5.2","0.7","1.5","3.2","4.0","5.6","4.5","8.7","NTV","シューイチ"
"2017/3/25","土","22:09:00","15","ホンダ/本田技研工業","フィット","2.7","3.7","2.4","2.7","3.2","2.9","1.3","1.8","2.9","3.2","2.9","2.7","1.0","4.4","CX","土曜プレミアム・映画「怪盗グルーの月泥棒」"
"2017/3/25","土","22:08:45","15","ホンダ/本田技研工業","フリード","2.8","3.7","2.4","2.7","3.3","2.9","1.3","1.8","3.4","3.4","3.0","2.9","1.0","4.6","CX","土曜プレミアム・映画「怪盗グルーの月泥棒」"
"2017/3/25","土","20:34:56","15","ホンダ/本田技研工業","フィット","5.9","2.0","3.4","4.9","7.5","6.8","7.5","9.1","4.9","4.6","5.6","6.6","4.9","8.5","TBS","ジョブチューン電車のヒミツぶっちゃけ３時間ＳＰ！"
"2017/3/25","土","20:34:41","15","ホンダ/本田技研工業","フリード","5.9","2.0","3.4","4.9","7.4","6.8","7.5","9.1","4.9","4.6","5.6","6.6","4.9","8.4","TBS","ジョブチューン電車のヒミツぶっちゃけ３時間ＳＰ！"
"2017/3/25","土","11:33:21","30","ホンダ/本田技研工業","企業","0.2","0.0","0.5","0.2","0.1","0.4","0.6","0.0","0.0","0.0","0.2","0.2","0.3","0.4","TX","芸能界ちょっとイイ話スペシャル私を救ってくれた人"
"2017/3/24","金","25:00:43","30","ホンダ/本田技研工業","企業","1.3","0.0","0.0","0.6","1.5","2.3","1.6","0.4","0.0","1.4","1.5","1.9","2.6","2.7","TBS","有吉ジャポン"
"2017/3/24","金","24:34:01","30","ホンダ/本田技研工業","フリード","2.5","0.7","1.5","1.6","2.4","3.9","3.2","0.7","0.5","1.4","3.4","3.4","2.9","4.7","NTV","ＮＥＷＳＺＥＲＯ"
"2017/3/24","金","23:59:53","15","ホンダ/本田技研工業","フリード","2.3","0.3","0.0","1.0","2.2","3.9","5.2","0.4","0.5","1.0","2.7","3.4","4.9","4.5","TBS","ＮＥＷＳ２３"
"2017/3/24","金","23:59:38","15","ホンダ/本田技研工業","フィット","2.5","0.3","0.0","1.2","2.3","4.3","5.2","0.4","0.5","1.2","2.7","3.7","5.2","4.7","TBS","ＮＥＷＳ２３"
"2017/3/24","金","23:50:48","15","ホンダ/本田技研工業","フィット","1.8","0.0","0.5","0.6","1.8","1.8","2.9","0.7","1.0","0.8","2.8","3.2","3.2","3.3","TX","ワールドビジネスサテライト"
"2017/3/24","金","23:50:33","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.8","0.0","0.5","0.6","1.8","1.8","2.9","0.7","1.0","0.8","2.9","3.2","3.2","3.3","TX","ワールドビジネスサテライト"
"2017/3/24","金","23:04:58","15","ホンダ/本田技研工業","フリード","5.5","0.3","1.5","4.3","6.6","7.0","5.5","2.6","5.9","2.4","6.7","9.0","7.8","9.6","EX","報道ステーション"
"2017/3/24","金","23:04:43","15","ホンダ/本田技研工業","フィット","5.5","0.3","1.5","4.3","6.6","7.0","5.5","2.6","5.9","2.2","6.7","9.0","7.8","9.5","EX","報道ステーション"
"2017/3/24","金","20:24:34","30","ホンダ/本田技研工業","フリード","4.3","3.7","6.8","3.9","5.7","5.6","4.5","5.8","2.0","2.2","3.3","3.9","4.9","7.8","NTV","沸騰ワード１０美人跡取り大集合＆伝説の家政婦ＳＰ"
"2017/3/23","木","25:30:28","60","ホンダ/本田技研工業","NSX","3.5","0.0","1.0","2.9","2.2","4.1","2.3","0.0","2.0","5.2","5.7","5.1","5.8","7.2","EX","２０１８ＦＩＦＡＷ杯ロシアアジア地区最終予選"
"2017/3/23","木","23:50:27","30","ホンダ/本田技研工業","フリード","1.4","0.0","0.5","1.2","1.5","1.3","1.3","0.4","0.0","1.4","2.1","1.5","3.2","2.8","TX","ワールドビジネスサテライト"
