StartDate,Geo,Query,Impressions,Clicks,Queries
2016-04-08,Japan / Tochigi (Prefecture),トヨタ,55,3,235
2016-04-08,Japan / Tochigi (Prefecture),toyota,6,1,35
2016-04-08,Japan / Gunma (Prefecture),トヨタ,25,0,196
2016-04-08,Japan / Gunma (Prefecture),toyota,2,1,45
2016-04-08,Japan / Saitama (Prefecture),トヨタ,138,3,577
2016-04-08,Japan / Saitama (Prefecture),toyota,13,0,99
2016-04-08,Japan / Chiba (Prefecture),トヨタ,144,1,612
2016-04-08,Japan / Chiba (Prefecture),toyota,2,0,79
2016-04-08,Japan / Tokyo (Prefecture),トヨタ,514,13,3092
2016-04-08,Japan / Tokyo (Prefecture),toyota,53,6,500
2016-04-08,Japan / Kanagawa (Prefecture),トヨタ,315,15,1258
2016-04-08,Japan / Kanagawa (Prefecture),toyota,68,1,194
2016-04-09,Japan,トヨタ,4675,140,19335
2016-04-09,Japan,toyota,388,24,2516
2016-04-09,Japan / Ibaraki (Prefecture),トヨタ,80,4,389
2016-04-09,Japan / Ibaraki (Prefecture),toyota,2,1,55
2016-04-09,Japan / Tochigi (Prefecture),トヨタ,62,1,232
2016-04-09,Japan / Tochigi (Prefecture),toyota,22,3,41
2016-04-09,Japan / Gunma (Prefecture),トヨタ,77,6,242
2016-04-09,Japan / Gunma (Prefecture),toyota,10,3,39
2016-04-09,Japan / Saitama (Prefecture),トヨタ,193,0,811
2016-04-09,Japan / Saitama (Prefecture),toyota,9,0,132
2016-04-09,Japan / Chiba (Prefecture),トヨタ,233,1,708
2016-04-09,Japan / Chiba (Prefecture),toyota,16,1,105
2016-04-09,Japan / Tokyo (Prefecture),トヨタ,709,31,3260
2016-04-09,Japan / Tokyo (Prefecture),toyota,43,3,450
2016-04-09,Japan / Kanagawa (Prefecture),トヨタ,316,10,1413
2016-04-09,Japan / Kanagawa (Prefecture),toyota,59,2,226
2016-04-10,Japan,トヨタ,4835,120,19928
2016-04-10,Japan,toyota,435,14,3024
2016-04-10,Japan / Ibaraki (Prefecture),トヨタ,119,0,350
2016-04-10,Japan / Ibaraki (Prefecture),toyota,3,0,44
2016-04-10,Japan / Tochigi (Prefecture),トヨタ,48,2,207
2016-04-10,Japan / Tochigi (Prefecture),toyota,3,1,57
2016-04-10,Japan / Gunma (Prefecture),トヨタ,60,4,264
2016-04-10,Japan / Gunma (Prefecture),toyota,1,0,41
2016-04-10,Japan / Saitama (Prefecture),トヨタ,199,6,725
2016-04-10,Japan / Saitama (Prefecture),toyota,7,1,126
2016-04-10,Japan / Chiba (Prefecture),トヨタ,170,5,719
2016-04-10,Japan / Chiba (Prefecture),toyota,6,1,113
2016-04-10,Japan / Tokyo (Prefecture),トヨタ,645,19,3816
2016-04-10,Japan / Tokyo (Prefecture),toyota,80,3,693
2016-04-10,Japan / Kanagawa (Prefecture),トヨタ,484,16,1502
2016-04-10,Japan / Kanagawa (Prefecture),toyota,79,1,252
2016-04-11,Japan,トヨタ,5271,171,19921
2016-04-11,Japan,toyota,470,22,3473
2016-04-11,Japan / Ibaraki (Prefecture),トヨタ,88,2,356
2016-04-11,Japan / Ibaraki (Prefecture),toyota,2,0,42
2016-04-11,Japan / Tochigi (Prefecture),トヨタ,53,1,219
2016-04-11,Japan / Tochigi (Prefecture),toyota,3,0,62
2016-04-11,Japan / Gunma (Prefecture),トヨタ,44,3,239
2016-04-11,Japan / Gunma (Prefecture),toyota,1,1,41
2016-04-11,Japan / Saitama (Prefecture),トヨタ,150,5,678
2016-04-11,Japan / Saitama (Prefecture),toyota,15,0,121
2016-04-11,Japan / Chiba (Prefecture),トヨタ,148,2,633
2016-04-11,Japan / Chiba (Prefecture),toyota,10,1,129
2016-04-11,Japan / Tokyo (Prefecture),トヨタ,846,31,3902
2016-04-11,Japan / Tokyo (Prefecture),toyota,56,4,838
2016-04-11,Japan / Kanagawa (Prefecture),トヨタ,540,22,1378
2016-04-11,Japan / Kanagawa (Prefecture),toyota,86,2,254
2016-04-12,Japan,トヨタ,25232,3412,25435
2016-04-12,Japan,toyota,3529,659,4142
2016-04-12,Japan / Ibaraki (Prefecture),トヨタ,394,56,397
2016-04-12,Japan / Ibaraki (Prefecture),toyota,56,7,63
2016-04-12,Japan / Tochigi (Prefecture),トヨタ,354,51,337
2016-04-12,Japan / Tochigi (Prefecture),toyota,73,16,82
2016-04-12,Japan / Gunma (Prefecture),トヨタ,298,50,315
2016-04-12,Japan / Gunma (Prefecture),toyota,48,17,56
2016-04-12,Japan / Saitama (Prefecture),トヨタ,938,135,928
2016-04-12,Japan / Saitama (Prefecture),toyota,134,17,141
2016-04-12,Japan / Chiba (Prefecture),トヨタ,943,122,931
2016-04-12,Japan / Chiba (Prefecture),toyota,100,24,107
2016-04-12,Japan / Tokyo (Prefecture),トヨタ,4521,656,4873
2016-04-12,Japan / Tokyo (Prefecture),toyota,742,126,952
2016-04-12,Japan / Kanagawa (Prefecture),トヨタ,1857,212,1722
2016-04-12,Japan / Kanagawa (Prefecture),toyota,269,47,295
2016-04-13,Japan,トヨタ,20330,2681,24278
2016-04-13,Japan,toyota,2876,515,3953
2016-04-13,Japan / Ibaraki (Prefecture),トヨタ,364,42,408
2016-04-13,Japan / Ibaraki (Prefecture),toyota,38,10,63
2016-04-13,Japan / Tochigi (Prefecture),トヨタ,242,33,311
2016-04-13,Japan / Tochigi (Prefecture),toyota,46,14,67
2016-04-13,Japan / Gunma (Prefecture),トヨタ,272,28,328
2016-04-13,Japan / Gunma (Prefecture),toyota,39,5,54
2016-04-13,Japan / Saitama (Prefecture),トヨタ,672,101,786
2016-04-13,Japan / Saitama (Prefecture),toyota,109,23,160
2016-04-13,Japan / Chiba (Prefecture),トヨタ,675,97,810
2016-04-13,Japan / Chiba (Prefecture),toyota,92,19,131
2016-04-13,Japan / Tokyo (Prefecture),トヨタ,3861,551,4660
2016-04-13,Japan / Tokyo (Prefecture),toyota,674,128,910
2016-04-13,Japan / Kanagawa (Prefecture),トヨタ,1423,211,1639
2016-04-13,Japan / Kanagawa (Prefecture),toyota,189,22,273
2016-04-14,Japan,トヨタ,19226,2548,22344
2016-04-14,Japan,toyota,2954,545,3672
2016-04-14,Japan / Ibaraki (Prefecture),トヨタ,333,35,418
2016-04-14,Japan / Ibaraki (Prefecture),toyota,54,12,63
2016-04-14,Japan / Tochigi (Prefecture),トヨタ,248,38,295
2016-04-14,Japan / Tochigi (Prefecture),toyota,57,17,74
2016-04-14,Japan / Gunma (Prefecture),トヨタ,249,34,258
2016-04-14,Japan / Gunma (Prefecture),toyota,33,9,47
2016-04-14,Japan / Saitama (Prefecture),トヨタ,659,85,755
2016-04-14,Japan / Saitama (Prefecture),toyota,107,27,138
2016-04-14,Japan / Chiba (Prefecture),トヨタ,584,89,738
2016-04-14,Japan / Chiba (Prefecture),toyota,77,9,103
2016-04-14,Japan / Tokyo (Prefecture),トヨタ,3776,512,4457
2016-04-14,Japan / Tokyo (Prefecture),toyota,637,115,855
2016-04-14,Japan / Kanagawa (Prefecture),トヨタ,1349,188,1594
2016-04-14,Japan / Kanagawa (Prefecture),toyota,209,44,257
2016-04-15,Japan,トヨタ,18905,2594,23163
2016-04-15,Japan,toyota,2080,411,2847
2016-04-15,Japan / Ibaraki (Prefecture),トヨタ,324,60,437
2016-04-15,Japan / Ibaraki (Prefecture),toyota,34,7,37
2016-04-15,Japan / Tochigi (Prefecture),トヨタ,218,28,264
2016-04-15,Japan / Tochigi (Prefecture),toyota,30,9,45
2016-04-15,Japan / Gunma (Prefecture),トヨタ,224,43,260
2016-04-15,Japan / Gunma (Prefecture),toyota,19,5,34
2016-04-15,Japan / Saitama (Prefecture),トヨタ,712,96,863
2016-04-15,Japan / Saitama (Prefecture),toyota,88,17,121
2016-04-15,Japan / Chiba (Prefecture),トヨタ,648,93,769
2016-04-15,Japan / Chiba (Prefecture),toyota,86,14,112
2016-04-15,Japan / Tokyo (Prefecture),トヨタ,3150,448,3975
2016-04-15,Japan / Tokyo (Prefecture),toyota,416,81,638
2016-04-15,Japan / Kanagawa (Prefecture),トヨタ,1354,208,1687
2016-04-15,Japan / Kanagawa (Prefecture),toyota,173,32,211
2016-04-16,Japan,トヨタ,23231,3440,26583
2016-04-16,Japan,toyota,2709,562,3043
2016-04-16,Japan / Ibaraki (Prefecture),トヨタ,384,74,474
2016-04-16,Japan / Ibaraki (Prefecture),toyota,52,6,59
2016-04-16,Japan / Tochigi (Prefecture),トヨタ,303,62,311
2016-04-16,Japan / Tochigi (Prefecture),toyota,27,4,39
2016-04-16,Japan / Gunma (Prefecture),トヨタ,297,41,355
2016-04-16,Japan / Gunma (Prefecture),toyota,28,6,31
2016-04-16,Japan / Saitama (Prefecture),トヨタ,948,160,1105
2016-04-16,Japan / Saitama (Prefecture),toyota,122,37,128
2016-04-16,Japan / Chiba (Prefecture),トヨタ,920,164,1032
2016-04-16,Japan / Chiba (Prefecture),toyota,126,25,146
2016-04-16,Japan / Tokyo (Prefecture),トヨタ,3632,554,4301
2016-04-16,Japan / Tokyo (Prefecture),toyota,446,91,541
2016-04-16,Japan / Kanagawa (Prefecture),トヨタ,1816,294,2010
2016-04-16,Japan / Kanagawa (Prefecture),toyota,243,46,265
2016-04-17,Japan,トヨタ,40716,5395,41223
2016-04-17,Japan,toyota,4376,773,4930
2016-04-17,Japan / Ibaraki (Prefecture),トヨタ,513,66,516
2016-04-17,Japan / Ibaraki (Prefecture),toyota,56,10,74
2016-04-17,Japan / Tochigi (Prefecture),トヨタ,432,68,402
2016-04-17,Japan / Tochigi (Prefecture),toyota,74,15,77
2016-04-17,Japan / Gunma (Prefecture),トヨタ,462,55,419
2016-04-17,Japan / Gunma (Prefecture),toyota,32,6,49
