date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/21,火,23,30,アクセラ,1.9,0.7,1.5,1.4,1.9,2.2,2.6,0.4,0.5,1,2.4,3.1,2.6,3.5,TBS,ＮＥＷＳ２３,News
2017/3/21,火,23,30,CX-5,3.5,1.3,2.4,2.9,4.1,6.5,4.9,0.4,2,2.2,3.8,4.9,1.6,6.8,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/20,月(祝),24,30,企業,1.2,0,0,0.8,1.5,1.8,0.3,0.7,0.5,1.2,1.1,1.9,2.6,2.4,CX,ユアタイム〜あなたの時間〜,News
2017/3/20,月(祝),23,30,企業,5.3,1,6.3,5.7,6.1,7.2,5.2,1.5,2,4,6.7,6.5,4.5,9,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/20,月(祝),23,30,CX-5,1.6,0,0,0.2,1.1,3.1,2.3,0.4,1,0.8,1.8,2.9,3.2,3.1,TBS,ＮＥＷＳ２３,News
2017/3/19,日,23,30,企業,2.2,0.7,4.4,2,3,2.4,1,0.7,1.4,2,2.8,2.9,0.3,3.6,NTV,Ｇｏｉｎｇ！Ｓｐｏｒｔｓ＆Ｎｅｗｓ,Sports
2017/3/19,日,23,30,CX-5,2.4,0.3,0,1.8,2.3,3.3,2.6,0.7,0.5,0.6,3.4,4.4,4.2,4.5,CX,スポーツＬＩＦＥＨＥＲＯ’Ｓ,Sports
2017/3/19,日,23,30,CX-5,2.4,0.3,1.5,1.2,2.4,3.1,3.2,0,0,1.6,3.4,4.1,3.2,4.8,TBS,情熱大陸,Documentary
2017/3/19,日,23,30,アクセラ,2.5,0.3,1.5,1.2,2.4,3.6,3.5,0,0,1.6,3.5,4.1,3.9,5.1,TBS,情熱大陸,Documentary
2017/3/19,日,22,30,アクセラ,4.3,0.3,1.5,3.1,3.7,5.6,6.8,0.7,1,2.2,5.5,7.7,8.4,8,CX,フルタチさん×Ｍｒ．サンデー合体スペシャル,News
2017/3/19,日,18,30,CX-5,4.9,1,1.5,2.2,3.4,7.4,11.6,0.7,1.4,2.4,4.1,8,14.3,8.9,NTV,真相報道バンキシャ！,Variety
2017/3/18,土,24,30,企業,1.2,1,0.5,0.8,2,2,0.3,0,0,1.4,1.2,1.2,1,2.3,CX,スポーツＬＩＦＥＨＥＲＯ’Ｓ,Sports
2017/3/18,土,17,30,企業,1.5,0.3,0,0.4,1.1,3.3,2.6,0,0,2,1.1,2.4,3.2,3.1,TBS,報道特集,News
2017/3/17,金,24,30,CX-5,1.2,0,1,0.4,1.8,1.6,0.3,0,1,0,2.2,1.7,1.6,2.5,CX,ユアタイム〜あなたの時間〜,News
2017/3/17,金,24,30,企業,2.6,0.3,1,2.5,2.6,3.8,3.5,1.1,1,1.8,3.1,4.4,1,4.9,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/17,金,23,30,CX-5,2.3,0,1,1,2.1,4,4.8,0,1,1,3,3.4,3.2,4.2,TBS,ＮＥＷＳ２３,News
2017/3/17,金,22,30,CX-5,4.8,1.3,2.9,3.3,6.8,6,7.1,2.2,0.5,2.6,4.7,6.1,8.4,8.4,EX,報道ステーション,News
2017/3/17,金,16,30,企業,1.4,0,0.5,0.2,2,2.7,3.5,0.4,0,0.6,1,1.5,2.9,3,EX,スーパーＪチャンネル,News
2017/3/17,金,12,30,アクセラ,1,0.7,1,0,1.1,1.8,2.9,0,0.5,0.2,0.6,1.4,2.9,2,EX,徹子の部屋,Variety
2017/3/16,木,24,30,CX-5,1.8,0,1,0.6,2.8,2.4,2.3,0,0.5,1.2,1.8,2.7,2.9,3.5,CX,ユアタイム〜あなたの時間〜,News
2017/3/16,木,23,30,CX-5,3,0.7,3.9,3.3,3.4,5.6,3.9,1.1,0,1.8,3.4,3.8,1.6,5.8,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/16,木,23,30,企業,2.7,1.7,1.5,2,2.9,3.6,5.8,0.4,1,0.6,2.8,3.8,4.9,4.6,TBS,ＮＥＷＳ２３,News
2017/3/16,木,21,30,企業,4.2,0.3,2.4,1.8,3.3,7.8,13.5,0.4,1.4,1.2,2.2,6.5,10.7,7.6,EX,報道ステーション,News
2017/3/15,水,23,30,企業,1.4,0.7,1.5,0.8,2.4,1.8,1,0.4,0.5,1,1.6,1.5,1.9,2.8,CX,ユアタイム〜あなたの時間〜,News
2017/3/15,水,23,30,CX-5,1.9,1,0.5,1,3,2.9,2.9,0.4,0,1,1.1,2.6,3.9,3.6,TBS,ＮＥＷＳ２３,News
