StartDate	EndDate	Network/Property	GeoID	Geo	Query	Most-specific category ID	Most-specific category	Most-specific Brand	KG labels	Impressions	Clicks	Page CTR	Cost USD	CPC USD	RPMad	Queries	Matched Queries	Coverage	IPQ	Depth	qCTR	RPMq	RPMmq
2016-03-28	2016-03-28	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	222	1	1.01	0.03	0.0273	0.1229	1312	99	7.55	0.17	2.24	0.08	0.0208	0.2756
2016-03-28	2016-03-28	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	14	1	11.11	0.56	0.5554	39.6721	301	9	2.99	0.05	1.56	0.33	1.8452	61.7121
2016-03-29	2016-03-29	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	65	2	6.67	0.19	0.0967	2.9760	277	30	10.83	0.23	2.17	0.72	0.6983	6.4480
2016-03-29	2016-03-29	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	2	0	0.00	0.00	0.0000	0.0000	47	2	4.26	0.04	1.00	0.00	0.0000	0.0000
2016-03-29	2016-03-29	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	115	7	10.00	3.68	0.5255	31.9850	498	70	14.06	0.23	1.64	1.41	7.3861	52.5468
2016-03-29	2016-03-29	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	7	0	0.00	0.00	0.0000	0.0000	234	4	1.71	0.03	1.75	0.00	0.0000	0.0000
2016-03-29	2016-03-29	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	84	0	0.00	0.00	0.0000	0.0000	186	55	29.57	0.45	1.53	0.00	0.0000	0.0000
2016-03-29	2016-03-29	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	10	0	0.00	0.00	0.0000	0.0000	46	8	17.39	0.22	1.25	0.00	0.0000	0.0000
2016-03-29	2016-03-29	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	143	2	3.28	0.06	0.0308	0.4308	724	61	8.43	0.20	2.34	0.28	0.0851	1.0099
2016-03-29	2016-03-29	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	13	0	0.00	0.00	0.0000	0.0000	168	8	4.76	0.08	1.63	0.00	0.0000	0.0000
2016-03-29	2016-03-29	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	99	3	5.88	0.74	0.2468	7.4791	541	51	9.43	0.18	1.94	0.55	1.3686	14.5182
2016-03-29	2016-03-29	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	12	0	0.00	0.00	0.0000	0.0000	107	5	4.67	0.11	2.40	0.00	0.0000	0.0000
2016-03-29	2016-03-29	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	402	11	6.08	1.25	0.1135	3.1070	2952	181	6.13	0.14	2.22	0.37	0.4231	6.9007
2016-03-29	2016-03-29	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	57	1	2.94	0.41	0.4133	7.2502	663	34	5.13	0.09	1.68	0.15	0.6233	12.1547
2016-03-29	2016-03-29	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	212	3	3.57	0.96	0.3200	4.5277	1237	84	6.79	0.17	2.52	0.24	0.7760	11.4271
2016-03-29	2016-03-29	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	29	3	18.75	0.19	0.0646	6.6797	243	16	6.58	0.12	1.81	1.23	0.7972	12.1070
2016-03-30	2016-03-30	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	50	3	10.34	0.21	0.0712	4.2693	299	29	9.70	0.17	1.72	1.00	0.7139	7.3608
